Наименование,Код ТНВЭД,Цена без НДС,Импорт,Производитель,Дата цены,Требования и техпараметры,Примечание,Перечень БЭСК,Единственный производитель в РБ,Наличие отечественного производителя,Наличие производителя в ГПО,Еденица измерения количества,Не РЗА,Золото,Серебро,Фото
Кабель КГ 1х6.0,8544598000,5,Нет,,03.05.2021,,,2.1 Комплектующие и материалы: кабельно-проводниковая продукция всех типов,Нет,РБ,Нет,м,Нет,,,0
Кабель-канал перфорированный 25х25мм,8536,3.9,Нет,,02.09.2019,,,Изоляционные материалы,Нет,Нет,Нет,м.,Нет,,,0
Кабель-канал перфорированный 40х60мм,8536,9.5,Нет,,02.09.2019,,,Изоляционные материалы,Нет,РБ,Нет,м,Нет,,,0
Кабельная бирка для маркировки,8536,0.12,Нет,,16.08.2018,,,Электроаппараты,Нет,РБ,Нет,шт.,Нет,,,0
Кабельный ввод-сальник PG-21,8536,2.4,Нет,,16.08.2018,диаметр кабеля 13-18мм диаметр отверстия 26.9мм,,Электроаппараты,Нет,РБ,Нет,шт.,Нет,,,2
Кабельный наконечник для гибкого провода (100 шт. в упак.),8536,1.2,Нет,,16.08.2018,,,Электроаппараты,Нет,РБ,Нет,шт.,Нет,,,0
Кисть флейцевая КФ 100,8203,4,Да,,31.01.2019,Металлический(пластмассовый) бандаж. деревянную ручку с отверстием для подвески и светлую натуральную щетину.,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,РБ,Нет,шт.,Нет,,,0
Кисть флейцевая КФ 50,8203,3,Да,,31.01.2019,Металлический(пластмассовый) бандаж. деревянную ручку с отверстием для подвески и светлую натуральную щетину.,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,РБ,Нет,шт.,Нет,,,0
Клей Момент унив. 125мл,2715,5,Нет,,02.01.2019,,,Клея. герметики,Нет,РБ,Нет,шт.,Нет,,,0
Клемма измерительная ЗН-24И под DIN-рейку 35мм,8536,0.9,Да,,30.07.2020,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Клемма измерительная серая PTK 10/LT/STB,8536,4.5,Да,CONTA-CLIP,30.07.2020,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Клемма отводная МАG50 ВG,8536,0.7,Да,,30.07.2020,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Клемма проходная ЗН-24П под DIN-рейку 35мм,8536,0.6,Да,,16.08.2018,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Клемма проходная красная RK6-10/35,8536,1.5,Нет,CONTA-CLIP,30.07.2020,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Клемма проходная с защитным кожухом силовая S=8-35мм2,8536,15,Да,,30.07.2020,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Клемма проходная серая RК 6-10/35,8536,1.5,Да,CONTA-CLIP,30.07.2020,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Клемма проходная синяя RК 6-10/35,8536,1.5,Нет,CONTA-CLIP,30.07.2020,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Клемма проходная RK 50 ВG,8536,7,Да,,30.07.2020,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Клемма с размыкателем АWG22-12 2002-1871,8536,5.5,Да,,30.07.2020,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Клемма WAGO 224-112,8536,1,Да,,30.10.2019,,,Электроаппараты,,,,шт.,Нет,,,0
Клемма WTL 6/1,8536,0.6,Да,Weidmuller,16.08.2018,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Клемма ZS10-ST-1/8 для измерений,8536,3.97,Да,,16.08.2018,,Токовые клеммы винтовой зажим,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Клемма ZS4(2.5)-BL/5.2 (проходная),8536,0.73,Да,Enterlec,16.08.2018,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Клемма ZS6-S-4S-T2/6 винтовой зажим на 4 контакта 2т.гнезда(кроссовая),8536,2.87,Да,Enterlec,05.10.2017,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Ключ рожковый 12-13,8203,3,Да,,31.01.2019,Хромованадиевая сталь,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,Нет,Нет,шт.,Нет,,,0
Ключ рожковый 14-17,8203,6,Да,,31.01.2019,Хромованадиевая сталь,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,Нет,Нет,шт.,Нет,,,0
Ключ рожковый 5.5-7,8203,3,Да,,31.01.2019,Хромованадиевая сталь,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,Нет,Нет,шт.,Нет,,,0
Ключ рожковый 8-10,8203,3,Да,,31.01.2019,Хромованадиевая сталь,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,Нет,Нет,шт.,Нет,,,0
Кнопка (адаптер М22-А+кнопка черная М22А),8536,10.61,Да,Eaton,16.08.2018,,серия Тitnan,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Кнопка (адаптер М22-А+ 1блок контакт 1NО М22-КС10+1блок контакт 1NС М22-К01 +кнопка черная М22А),8536,10.61,Да,Eaton,16.08.2018,,серия Тitnan,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Кнопка А22-КЕ10 (на 3 контакта) Moeller,8536,1.9,Да,Eaton,21.09.2015,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Кнопка КЕ 011,8536,02.05,Да,"ООО ""ДВТ Электро""",16.08.2018,10 А. 440 В. чёрная. плоская. под отверстие 22 мм,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Кнопка LАY5-ВА21,8536,10.61,Да,IEK,16.08.2018,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Колодка к реле finder (62.33) TYPE 92.03,8536,12,Да,,19.05.2015,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Комплект батареек для комплектации приборов,8536,0.15,Да,,,,,Элементы питания и АКБ,Нет,Нет,Нет,шт.,Нет,,,0
Комплект чехлов для сидений автомобиля ГАЗ-27057,,137,Нет,,02.06.2020,,,Хозтовары и хозинветарь,,,Нет,шт.,Нет,,,0
Конденсатор полярный электролитический 100мкф 400В,8536,3.8,Нет,,28.01.2020,"общего применения 100mF x 400V. 105°С
или
Low ESR",,Радиодетали,Нет,Нет,Нет,шт.,Нет,,,0
Конденсатор полярный электролитический 3300мкф 450В,8536,30,Нет,,07.02.2020,HCG FA 3300MFD 450VDC. Винтовой. 105 С,,Радиодетали,Нет,Нет,Нет,шт.,Нет,,,0
Конденсатор полярный электролитический 470мкф 25В,8536,0.3,Нет,,28.01.2020,"Low Impedance. 470mF x 25V. 105°С
или
Low ESR",,Радиодетали,Нет,Нет,Нет,шт.,Нет,,,0
Конденсатор полярный электролитический 47мкф 100В,8536,0.4,Нет,,28.01.2020,"Low Impedance. 47mF x 100V. 105°С
или
Low ESR",,Радиодетали,Нет,Нет,Нет,шт.,Нет,,,0
Конденсатор полярный электролитический 47мкф 400В,8536,1.6,Нет,,28.01.2020,"общего применения 47mF x 400V. 105°С
или
Low ESR",,Радиодетали,Нет,Нет,Нет,шт.,Нет,,,0
Конденсатор полярный электролитический 47мкф 50В,8536,0.2,Нет,,28.01.2020,"Low Impedance. 47mF x 50V. 105°С
или
Low ESR",,Радиодетали,Нет,Нет,Нет,шт.,Нет,,,0
Конденсатор электролитический 47мкф 100В,8536,1,Нет,,30.07.2020,47мкф. 100 В.,,Радиодетали,Нет,Нет,Нет,шт.,Нет,,,0
Конденсатор электролитический алюминевый (К50-35) 100мкф 350В,8536,2,Нет,,29.10.2019,100мкф. 350 В,,Радиодетали,Нет,Нет,Нет,шт.,Нет,,,0
Конденсатор электролитический алюминевый (К50-35) 100мкф 350В DC,8536,3,Нет,,29.10.2019,100мкф. 350 В. DC,,Радиодетали,Нет,Нет,Нет,шт.,Нет,,,0
Конденсатор электролитический алюминевый (К50-35) 10мкф 160В,8536,1,Нет,,29.10.2019,10мкф. 160 В,,Радиодетали,Нет,Нет,Нет,шт.,Нет,,,0
Конденсатор электролитический алюминевый (К50-35) 220мкф 50В,8536,1,Нет,,29.10.2019,220мкф. 50 В,,Радиодетали,Нет,Нет,Нет,шт.,Нет,,,0
Контакт состояния КС47 к автоматическому выключателю ВА47-29,8536,4.8,Да,,30.07.2020,230 В,,Автоматические выключатели,Нет,Нет,Нет,шт.,Нет,,,0
Контактор КМИ 11810 (аналог ПМЛ-11000),8535,8.4,Да,,03.09.2015,18 А. 230 В/АС-3 1НО катушка 230 В,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Контактор КМИ-22510 АС 220В,8536,25,Да,,30.07.2020,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Контактор КМИ48010 АС220В,8536,100,Да,,30.07.2020,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Контактор ПМ12 100А (КЭАЗ)+1но 1нз бк Uк=220В,8536,150,Да,,30.07.2020,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Контактор РПН (ЭКФ) КМЭ-0910 с блоком вспомогательных контактов ПКЭ-04,8536,14,Да,,30.07.2020,18 А. 230 В/АС-3 1НО катушка 230 В,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Контактор ЭВ,8536,10,Да,,30.07.2020,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Контроллер ПИКОН (РУП БЭМН),8536,250,Нет,"РУП ""БЭМН""",14.01.2015,,,Электроаппараты,Да,РБ,Есть,шт.,Нет,,,0
Концевая консоль для клемм ЕS 35/К/ST BG,8536,1.5,Да,CONTA-CLIP,30.07.2020,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Концевой выключатель для дверей шкафа 5А 220В 2 пер.контакта,8536,3.6,Нет,,16.08.2018,,,Электроаппараты,Нет,РБ,Нет,шт.,Нет,,,0
Концевой сегмент для клеммы ZS10-ST-1/8 (испытательная),8536,0.36,Да,,16.08.2018,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Концевой сегмент для клеммы ZS10-ST-1/8 для измерений,8536,0.42,Да,,16.08.2018,,Торцевая крышка для токовой клеммы,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Концевой сегмент ЕS-4 для клемм ZS4-ZS25,8536,0.23,Да,Enterlec,16.08.2018,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Концевой сегмент ESG-4S для клемм ZS6-S-4S-T2/6,8536,0.42,Да,Enterlec,05.10.2017,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Концевой упор ВАМ4 с реечным контактом 10мм,8536,0.48,Да,Enterlec,16.08.2018,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Коробка испытательная переходная ИКП (аналог ИК. ИКК),8536,10,Нет,,07.09.2020,68х220х33мм. 380 В.,,,,,Нет,шт.,Нет,,,0
Краска для деревьев садовая белая 3 кг.,8203,7,Нет,,30.10.2019,,,Строительные материалы,,,,шт.,Нет,,,0
Круглогубцы (Cimco 10 0062),8203,90,Да,,31.01.2019,IEC 900. IEC 60900:2004.VDE 0682/часть 201,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,Нет,Нет,шт.,Нет,,,0
Круглогубцы 160мм(DIN ISO 5745. 64НRC. 1000V),8203,36.4,Да,,30.07.2020,,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,РБ,Нет,шт.,Нет,,,0
Круглогубцы электроизолированные с плоскими изогнутами губками(KNIPEX 26 26 200),8203,100,Да,,31.01.2019,Твердость около 61 HRC.изолированная рукоятка-VDE,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,Нет,Нет,шт.,Нет,,,0
Крышка торцевая к измерительной клемме AP/L/Q/D BG,8536,0.8,Да,CONTA-CLIP,30.07.2020,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Крышка торцевая к проходной клемме AP 2.5-10 BG,8536,0.8,Да,CONTA-CLIP,30.07.2020,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Кусачки (KNIPEX 70 06 180),8203,85,Да,,31.01.2019,Твердость лезвия 62 HRC.изолированная рукоятка-VDE,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,Нет,Нет,шт.,Нет,,,0
Лампа (сигнальная) цилиндрическая Ц 220-230 10 b15d,9405,2.5,Нет,,30.07.2020,Напряжение 220-230В. цоколь b15d,,Лампы светодиодные,Нет,Нет,Нет,шт.,Нет,,,0
Лампа BMS20-240-K04(красная) в арматуру IEK,9405,0.25,Да,IEK,17.10.2017,,,Лампы светодиодные,Нет,Нет,Нет,шт.,Нет,,,0
Лампа BMS20-240-K06(зеленая) в арматуру IEK,9405,0.25,Да,IEK,17.10.2017,,,Лампы светодиодные,Нет,Нет,Нет,шт.,Нет,,,0
Лампа ЛСО 1-Б-2-220 Белая,9405,7.55,Да,"ООО ""ТД Каскад-Электро""",09.01.2019,220 В,,Лампы светодиодные,Нет,Нет,Нет,шт.,Нет,,,0
Лампа светодиодная E27 220В,9405,5,Нет,,17.12.2018,мощность от 10 Вт. цоколь Е27. 220 В,,Лампы светодиодные,Нет,Есть,Нет,шт.,Нет,,,0
Лампа СКЛ-14А-Ж- 2-220 Жёлтая,9405,5.41,Да,ЗАО «Протон-Импульс»,16.08.2018,220 В,,Лампы светодиодные,Нет,Нет,Нет,шт.,Нет,,,0
Лампа СКЛ-14А-К-2-220 Красная,9405,5.41,Да,ЗАО «Протон-Импульс»,16.08.2018,220 В,,Лампы светодиодные,Нет,Нет,Нет,шт.,Нет,,,0
Лампа СКЛ-14А-Л-2-220 Зеленая,9405,5.41,Да,ЗАО «Протон-Импульс»,16.08.2018,220 В,,Лампы светодиодные,Нет,Нет,Нет,шт.,Нет,,,0
Лампа СКЛ-1А-Ж-2-220 Жёлтая,9405,4.97,Да,ЗАО «Протон-Импульс»,16.08.2018,220 В,,Лампы светодиодные,Нет,Нет,Нет,шт.,Нет,,,0
Лампа сменная BMS10-220-K04(красная) в арматуру IEK,9405,2.5,Да,IEK,17.10.2017,230В АС,,Лампы светодиодные,Нет,Нет,Нет,шт.,Нет,,,0
Лампа сменная BMS10-220-K05(жёлтая) в арматуру IEK,9405,2.5,Да,IEK,17.10.2017,230В АС,,Лампы светодиодные,Нет,Нет,Нет,шт.,Нет,,,0
Лампа сменная BMS10-220-K06(зеленая) в арматуру IEK,9405,2.5,Да,IEK,17.10.2017,230В АС,,Лампы светодиодные,Нет,Нет,Нет,шт.,Нет,,,0
Лампа Ц235-245-10 на 2контакта цоколь В15d/18 10 Вт в табло и ЛС-220,9405,2.5,Нет,,17.10.2017,,,Лампы светодиодные,Нет,РБ,Нет,шт.,Нет,,,0
Лента сигнальная красно-белая 70мм х 100м,8536,12,Нет,,30.07.2020,,,Изоляционные материалы,Нет,РБ,Нет,шт.,Нет,,,0
Линолеум 4.5x5.9m (26.6m^2),8536,800,Нет,,15.01.2019,,,Строительные материалы,Нет,Есть,Нет,лист,Да,,,0
Логометр цифровой УП-85-14/2(Электроприбор г.Витебск),8536,399,Нет,Электроприбор,21.09.2015,,,1.1 Электротехническое оборудование: Радио-. электроизмерительные приборы. приборы релейной защиты и автоматического контроля. установки ии приборы для испытания электрооборудования,Нет,РБ,Нет,шт.,Нет,,,0
Логометр цифровой УП9256,8536,550,Нет,Энергосоюз,06.10.2017,,,1.1 Электротехническое оборудование: Радио-. электроизмерительные приборы. приборы релейной защиты и автоматического контроля. установки ии приборы для испытания электрооборудования,Нет,РБ,Нет,шт.,Нет,,,0
Лопата снеговая Американка-3,4814907009,30,Да,,10.05.2019,оцинкованная с планкой 500х430х0.9 мм. с черенком. V-ручка,,Хозтовары и хозинветарь,Нет,Есть,,шт.,Нет,,,0
Лопата штыковая с ребрами жесткости. с черенком,4814907009,12,Нет,,05.09.2019,,,Хозтовары и хозинветарь,,,,шт.,Нет,,,0
Лопата штыковая Сибртех с черенком,4814907009,30,Да,,10.05.2019,для земляных работ (с почвой. содержащей глину. камни. остатки корней),,Хозтовары и хозинветарь,Нет,Есть,,шт.,Нет,,,0
Маркер ВS-1 перманентный чёрный 0.5мм,8536,15.5,Да,PHOENIX CONTACT,16.08.2018,толщина линии 0.5мм,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,Нет,Нет,шт.,Нет,,,0
Маркировка к измерительной клемме PMS SB 8/40 WH,8536,0.01,Да,CONTA-CLIP,30.07.2020,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Маркировка к проходной клемме RК 6-10/35 PMS SB 8/40 WH,8536,0.01,Да,CONTA-CLIP,30.07.2020,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Маркировка МС512PC/5.2 карта 45шт 4.8Х12мм белый для клемм,8536,2.4,Да,Enterlec,16.08.2018,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Маркировка МС612PC/5.2 карта 39шт 5.6Х12мм белый для клемм,8536,2.36,Да,Enterlec,05.10.2017,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Маркировка МCLН для держателя LН(карта 36 шт),8536,17.47,Да,Enterlec,16.08.2018,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Мегаомметр E6-32,9030331000,850,Нет,Радиосервис,30.07.2020,,,Электроприборы,Нет,РБ,Нет,шт.,Нет,,,0
Металлорукав типа РЗ-Ц-25 мм,8536,0.7,Нет,,31.01.2019,,,Электроаппараты,Нет,Есть,Нет,м.,Нет,,,0
Металлорукав типа РЗ-Ц-ПВХ-15 мм,8536,0.7,Нет,,31.01.2019,,,Электроаппараты,Нет,Есть,Нет,м.,Нет,,,0
Металлорукав типа РЗ-Ц-ПВХ-32 мм,8536,2.5,Нет,,31.01.2019,,,Электроаппараты,Нет,Есть,Нет,м.,Нет,,,0
Микросхема TOP 224Y (преобразователь = в 100 кГц),8536,6,Да,,30.07.2020,,,Радиодетали,Нет,Нет,Нет,шт.,Нет,,,0
Мультиметр МП3,9030331000,120,Нет,,30.07.2020,,,1.1 Электротехническое оборудование: Радио-. электроизмерительные приборы. приборы релейной защиты и автоматического контроля. установки ии приборы для испытания электрооборудования,Нет,РБ,Нет,шт.,Нет,,,0
Муфта вводная с наружной резьбой МВн-25,8536,5,нет,,31.01.2019,,,Электроаппараты,Нет,есть,нет,шт.,нет,,,
Муфта вводная с наружной резьбой МВн-32 ,8536,5,нет,,31.01.2019,,,Электроаппараты,Нет,есть,нет,шт.,нет,,,
Набор алмазных надфилей 5шт.,8203,35,да,,26.04.2021,квадратный. круглый. плоский. полукруглый. трехгранный; обробатываемый материал-металл; алмазное напыление; рабочая длинна- 50мм; материал рукоятки - резина. пластик.,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,нет,,,,,,,
Набор автомобильных инструментов FORCE 041082 (108 предметов),8203,260,да,FORCE,12.01.2021,FORCE 041082 (108 предметов),,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,,нет,нет,набор,,,,
Набор сверл Bosch по металлу,8207503000,55,Да,,09.04.2021,19 шт: 1. 1.5. 2. 2.5. 3. 3.5. 4. 4.5. 5. 5.5. 6. 6.5. 7. 7.5. 8. 8.5. 9. 9.5. 10,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,Нет,Нет,шт.,,,,
Нагреватель полупроводниковый CSL 028 АС230 В. 50 Гц 250 Вт,8536,196.27,Да,STEGO,16.08.2018,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Накладка НКР-3,8536,1.2,Да,,16.08.2018,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Наконечник Е 35-16,8536,0.15,Нет,,30.07.2020,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Наконечник Е1508(гильза 1.5мм2 8мм) уп 100шт,8536,2,Да,,16.08.2018,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Наконечник Е2508(гильза 2.5мм2 8мм) уп100шт,8536,3,Да,,16.08.2018,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Наконечник НКИ 1.5-6(кольцо 1.5мм2-М4) уп 100шт,8536,10,Да,,30.07.2020,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Наконечник НКИ 2.5-4(кольцо 2.5мм2-М4) уп 100шт,8536,10,Да,,30.07.2020,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Наконечник НКИ 2.5-6(кольцо 2.5мм2-М6) уп 100шт,8536,3,Нет,,16.08.2018,,,Электроаппараты,Нет,Нет,Нет,уп.,Нет,,,0
Наконечник НКИ 6.0-8(кольцо 6мм2-М8) уп 100шт,8536,4,Нет,,16.08.2018,,,Электроаппараты,Нет,Нет,Нет,уп.,Нет,,,0
Наконечник штыревой втулочный изолированный двойной НШвИ(2) 1.5х12 (100шт.),8536,7,Да,,13.03.2020,,,Электроаппараты,Нет,Нет,Нет,уп.,Нет,,,0
Наконечник штыревой втулочный изолированный двойной НШвИ(2) 2.5х12,8536,8,Да,,13.03.2020,,,Электроаппараты,Нет,Нет,Нет,уп.,Нет,,,0
Независимая защита тр-ра Пума 3431 с МВД,8536,2498,Нет,"ОАО ""АСАТ""",14.01.2015,,,1.1 Электротехническое оборудование: Радио-. электроизмерительные приборы. приборы релейной защиты и автоматического контроля. установки ии приборы для испытания электрооборудования,Да,РБ,Есть,шт.,Нет,,,0
Независимый расцепитель Eaton ZP-ASA /230 для PL-7,8536,27,Да,Eaton,03.02.2020,,,Автоматические выключатели,,,,шт.,Нет,,,0
НКУ-ШОПТ Шкаф оперативного постоянного тока 50 Аxч,8536,32000,Нет,"РУП ""БЭМН""",04.09.2019,,,1.1 Электротехническое оборудование: Щитовая продукция (ящики силовые. шкафы вводно-распределительные. щиты освещения и т.д.),Да,РБ,Есть,шт.,Нет,,,0
Нож выдвижной канцелярский(Ома 070 207),8203,10,Да,,31.01.2019,Для резки изделий. разделки кабелей. снятие изоляции.,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,Нет,Нет,шт.,Нет,,,0
Нож для разделки кабеля с мощным стальным лезвием 50мм и изолированной ручкой 1000V прямой,8203,15,Да,,30.07.2020,,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,РБ,Нет,шт.,Нет,,,0
Нож для разделки кабеля с мощным стальным лезвием загнутый с плужковым ограничителем и изолированной ручкой 1000V,8203,87,Да,,14.01.2015,,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,РБ,Нет,шт.,Нет,,,0
Нож монтерский(KNIPEX 98 52),8203,37,Да,,31.01.2019,C эргономичность ручки с защитой от соскальзывания,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,Нет,Нет,шт.,Нет,,,0
Обои для мастерской,4814907009,12,Нет,,,,,Хозтовары и хозинветарь,Нет,РБ,Нет,рулон,Нет,,,0
Ограничитель на DIN-рейку (ИЭК),8536,0.2,Да,,30.07.2020,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Ограничитель перенапряжения ОПН ФП - 1.2 - УХЛ 2.1,8536,130,Нет,,09.11.2020,Uнд=1.2кВ,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Оргстекло лист 3.05х2.05м н=5мм прозрачное,3920510000,310,Нет,,30.07.2020,,,Строительные материалы,Нет,Есть,Нет,лист,Нет,,,0
Отвёртка малогабаритная со сменными битами(количество 6 бит. WIHA 33736),8203,39,Да,WIHA,31.01.2019,DIN 3126 ISO 1173. биты стандарт 25мм,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,Есть,Нет,шт.,Нет,,,0
Отвёртка РН1 (SoftFinish electric slimFix Phillips PH1x80мм WIHA 35393),8203,17,Да,WIHA,31.01.2019,DIN ISO 2380. 1000V,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,Есть,Нет,шт.,Нет,,,0
Отвертка РН1(DIN ISO 8764. 54НRC.1000V),8203,7.4,Да,,30.07.202030.,,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,Есть,Нет,шт.,Нет,,,0
Отвёртка РН2 (SoftFinish electric slimFix Phillips PH1x100мм WIHA 35394),8203,21,Да,WIHA,31.01.2019,DIN ISO 2380. 1000V,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,Есть,Нет,шт.,Нет,,,0
Отвертка РН2(DIN ISO 8764. 54НRC.1000V),8203,8.7,Да,,30.07.2020,,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,Есть,Нет,шт.,Нет,,,0
Отвертка РZ/FL2х100(артикул 78594 КВТ.1000V),8203,21,Да,,09.06.2021,1000В,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,Есть,Нет,шт.,Нет,,,0
Отвертка РZ/FL1х80(артикул 78593 КВТ.1000V),8203,21,Да,,09.06.2021,1000В,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,Есть,Нет,шт.,Нет,,,0
Отвёртка с шестигранными торцевыми головками (Cimco SW7 11 7807),8203,60,Да,,31.01.2019,VDE/GS; IEC 60900:2004; В-повышенная ударопрочность;размер шестигранной торцевой головы 7мм,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,Есть,Нет,шт.,Нет,,,0
Отвёртка с шестигранными торцевыми головками (Cimco SW8 11 7808),8203,60,Да,,31.01.2019,VDE/GS; IEC 60900:2004; В-повышенная ударопрочность;размер шестигранной торцевой головы 8мм,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,Есть,Нет,шт.,Нет,,,0
Отвёртка шлиц 2.5мм (SoftFinish electric slimFix SL2.5x80мм WIHA 35391),8203,13,Да,WIHA,31.01.2019,DIN ISO 2380. 1000V,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,Есть,Нет,шт.,Нет,,,0
Отвертка шлиц 3 мм(DIN ISO 2380. 54НRC.1000V),8203,6.5,Да,,30.07.2020,,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,Есть,Нет,шт.,Нет,,,0
Отвертка шлиц 3.5 мм(DIN ISO 2380. 54НRC.1000V),8203,7.6,Да,,30.07.2020,,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,Есть,Нет,шт.,Нет,,,0
Отвёртка шлиц 3.5мм (SoftFinish electric slimFix SL3.5x100мм WIHA 35446),8203,13,Да,WIHA,31.01.2019,DIN ISO 2380. 1000V,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,Есть,Нет,шт.,Нет,,,0
Отвёртка шлиц 4.5мм (SoftFinish electric slimFix SL4.5x125мм WIHA 35501),8203,14,Да,WIHA,31.01.2019,DIN ISO 2380. 1000V,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,Есть,Нет,шт.,Нет,,,0
Отвертка шлиц 4мм(DIN ISO 2380. 54НRC.1000V),8203,7.1,Да,,30.07.2020,,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,РБ,Нет,шт.,Нет,,,0
